City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,balaipungut,1.05,101.2833,26.69,88,81,2.11,ID,1707874400
200,lazaro cardenas,17.9583,-102.2,24.32,74,39,1.37,MX,1707874047
201,sandnessjoen,66.0217,12.6316,-6.71,85,100,12.43,NO,1707874153
202,kavieng,-2.5744,150.7967,28.64,77,70,4.36,PG,1707874152
203,mazatlan,23.2167,-106.4167,20.98,79,100,3.6,MX,1707874400
204,stephenville,32.2207,-98.2023,14.07,51,0,1.54,US,1707874400
205,calhoun,42.2506,-85.0005,0.9,40,100,3.09,US,1707874108
206,north platte,41.1239,-100.7654,6.66,47,0,1.79,US,1707874400
207,errachidia,31.9275,-4.4285,15.03,29,0,1.03,MA,1707874400
208,takum,7.2667,9.9833,24.94,16,98,0.5,NG,1707874400
209,montepuez,-13.1256,38.9997,20.69,99,100,1.18,MZ,1707874147
210,kirakira,-10.4544,161.9205,30.29,68,100,3.65,SB,1707874144
211,la sarre,48.8002,-79.1996,-14.21,91,100,3.96,CA,1707874269
212,cascais,38.6979,-9.4215,16.64,98,100,9.83,PT,1707874400
213,faya-largeau,17.9257,19.1043,20.5,21,0,7.0,TD,1707874368
214,shizuishan,39.2333,106.7694,0.49,14,100,7.67,CN,1707874400
215,riviere-du-loup,47.8304,-69.5342,-5.51,68,95,5.66,CA,1707874400
216,ubari,26.5921,12.7805,12.64,42,0,3.87,LY,1707874095
217,ciudad bolivar,8.1222,-63.5497,30.17,50,100,6.05,VE,1707874352
218,khandyga,62.6667,135.6,-33.17,98,100,0.8,RU,1707874079
219,castillos,-34.1667,-53.8333,15.55,68,9,3.06,UY,1707874071
220,kargasok,59.0556,80.8572,-13.35,95,100,6.26,RU,1707874401
221,tandil,-37.3217,-59.1332,12.6,77,0,2.7,AR,1707874401
222,port elizabeth,-33.918,25.5701,20.17,95,100,6.69,ZA,1707874075
223,al bardiyah,31.7561,25.0865,12.73,77,20,5.88,LY,1707874401
224,sidareja,-7.4846,108.7923,29.46,76,87,0.11,ID,1707874401
225,antonio enes,-16.2325,39.9086,24.46,92,100,3.71,MZ,1707874401
226,pathein,16.7833,94.7333,25.73,38,0,2.48,MM,1707874285
227,lubao,14.9167,120.55,29.04,58,46,6.04,PH,1707874401
228,afaahiti,-17.75,-149.2833,26.93,88,100,12.6,PF,1707874075
229,tazovsky,67.4667,78.7,-38.7,100,38,2.34,RU,1707874062
230,zaozersk,69.4005,32.4476,-18.93,93,98,3.93,RU,1707874277
231,rodna,47.4167,24.8167,2.99,87,100,1.98,RO,1707874401
232,susuman,62.7833,148.1667,-41.12,99,95,0.45,RU,1707874130
233,santa maria del oro,25.9333,-105.3667,13.55,13,100,4.12,MX,1707874401
234,igarka,67.4667,86.5833,-36.4,94,7,2.44,RU,1707874265
235,tulnici,45.9167,26.6667,3.49,97,100,2.22,RO,1707874402
236,tshikapa,-6.4167,20.8,22.36,95,100,0.26,CD,1707874142
237,ulsteinvik,62.3432,5.8487,6.5,73,44,6.36,NO,1707874159
238,ta`u,-14.2336,-169.5144,27.1,88,100,8.43,AS,1707874071
239,luoyang,34.6836,112.4536,14.17,53,95,3.63,CN,1707874402
240,pisco,-13.7,-76.2167,24.03,83,0,7.72,PE,1707874065
241,odienne,9.51,-7.5692,25.95,13,0,0.68,CI,1707874402
242,makokou,0.5738,12.8642,23.55,84,83,1.61,GA,1707874243
243,augusto correa,-1.0217,-46.635,23.85,98,100,1.02,BR,1707874402
244,soio,-6.1349,12.3689,25.14,93,100,2.9,AO,1707874277
245,mogadishu,2.0371,45.3438,25.8,89,12,5.95,SO,1707874350
246,tetyushi,54.9382,48.8366,-26.41,99,71,2.58,RU,1707874402
247,oltinko'l,40.8011,72.1634,7.28,49,100,2.19,UZ,1707874402
248,phon charoen,18.0333,103.1667,23.77,47,93,2.17,TH,1707874402
249,watsa,3.0372,29.5355,19.82,75,49,1.17,CD,1707874402
250,sen monorom,12.45,107.2,25.32,58,59,1.52,KH,1707874402
251,punta arenas,-53.15,-70.9167,13.06,62,75,5.66,CL,1707873959
252,keflavik,64.0049,-22.5624,-2.76,86,0,1.54,IS,1707874081
253,les sables-d'olonne,46.6667,-1.8333,12.44,95,85,5.54,FR,1707874403
254,deridder,30.8463,-93.289,10.21,81,0,0.0,US,1707874403
255,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.57,GF,1707874092
256,tahla,34.0485,-4.428,16.8,49,100,2.55,MA,1707874403
257,calama,-22.4667,-68.9333,19.27,48,0,8.75,CL,1707874207
258,mankapur,27.0333,82.2333,16.29,40,100,0.98,IN,1707874403
259,kuraymah,18.55,31.85,19.56,10,0,2.7,SD,1707874345
260,senanga,-16.1167,23.2667,20.86,64,34,1.6,ZM,1707874403
261,holualoa,19.6228,-155.9522,24.91,72,40,5.14,US,1707874081
262,qaqortoq,60.7167,-46.0333,-0.24,99,100,2.8,GL,1707874074
263,kiama,-34.6833,150.8667,25.77,77,72,7.92,AU,1707874403
264,kaa-khem,51.6833,94.7333,-22.0,86,100,1.15,RU,1707874261
265,phan rang-thap cham,11.5667,108.9833,26.21,68,26,3.58,VN,1707874146
266,sao vicente,-23.9631,-46.3919,26.1,79,100,1.3,BR,1707874064
267,la gi,10.6667,107.7833,28.04,63,17,6.31,VN,1707874403
268,i-n-salah,27.1935,2.4607,19.81,39,0,5.39,DZ,1707874090
269,axim,4.8699,-2.2405,27.52,90,8,3.02,GH,1707874077
270,fale old settlement,-9.3852,-171.2468,28.73,79,100,11.16,TK,1707874100
271,alofi,-19.0595,-169.9187,28.94,70,75,7.2,NU,1707874080
272,naze,28.3667,129.4833,20.51,64,8,9.4,JP,1707874092
273,jamestown,42.097,-79.2353,-0.23,79,100,6.17,US,1707873851
274,port augusta,-32.5,137.7667,23.84,33,0,7.17,AU,1707874354
275,kenai,60.5544,-151.2583,6.05,56,75,5.14,US,1707874350
276,mirriah,13.7073,9.1501,19.88,23,2,4.64,NE,1707874404
277,kilindoni,-7.9139,39.6668,27.88,78,52,4.67,TZ,1707874040
278,aswan,24.0934,32.907,16.61,20,0,3.6,EG,1707874154
279,eqbaliyeh,35.3022,51.5358,12.9,32,100,1.05,IR,1707874404
280,cannonvale,-20.2833,148.7,27.66,78,49,4.16,AU,1707874157
281,bahau,2.8079,102.4049,26.88,78,34,3.18,MY,1707874209
282,porto novo,6.4965,2.6036,26.64,91,1,2.79,BJ,1707874094
283,ghanzi,-21.5667,21.7833,23.68,35,11,3.92,BW,1707874068
284,bela vista de goias,-16.9728,-48.9533,22.64,76,36,2.45,BR,1707874404
285,lauro de freitas,-12.8944,-38.3272,28.01,83,40,2.57,BR,1707874164
286,hasaki,35.7333,140.8333,14.05,40,0,2.14,JP,1707874068
287,quellon,-43.1167,-73.6167,12.19,68,2,3.57,CL,1707874095
288,port saint john's,-31.6229,29.5448,22.6,90,65,1.96,ZA,1707874098
289,san antonio de pale,-1.4014,5.6325,28.5,80,100,2.52,GQ,1707874090
290,barra de santo antonio,-9.4047,-35.5072,26.6,82,85,1.84,BR,1707874404
291,saipan,15.1355,145.701,28.39,65,75,10.29,MP,1707874065
292,arboletes,8.8505,-76.4269,27.01,83,98,4.77,CO,1707874405
293,myeik,12.4333,98.6,23.82,60,19,1.87,MM,1707874078
294,gizo,-8.103,156.8419,28.6,75,12,4.69,SB,1707873921
295,kismayo,-0.3582,42.5454,26.13,84,41,7.11,SO,1707874262
296,mirpur sakro,24.5474,67.6277,17.98,46,0,2.49,PK,1707874405
297,enewetak,11.3474,162.3373,26.2,78,100,6.97,MH,1707874064
298,tortosa,40.8125,0.5216,14.03,74,48,1.58,ES,1707874296
299,vorgashor,67.5833,63.95,-29.78,98,6,3.4,RU,1707874067
300,amurzet,47.6967,131.0981,-7.98,77,54,4.36,RU,1707874405
301,xai-xai,-25.0519,33.6442,21.4,85,1,0.72,MZ,1707874346
302,presidente medici,-11.1753,-61.9014,22.91,95,100,1.07,BR,1707874359
303,yerofey pavlovich,53.9667,121.9667,-16.01,92,100,0.32,RU,1707874153
304,tadine,-21.55,167.8833,27.57,78,35,9.28,NC,1707874357
305,yangambi,0.8102,24.4336,22.48,85,100,1.19,CD,1707874405
306,kapoeta,4.7717,33.5903,30.41,35,90,7.44,SS,1707874359
307,kamina,-8.7386,24.9906,19.2,94,100,1.2,CD,1707874405
308,guerrero negro,27.9769,-114.0611,16.15,55,6,6.69,MX,1707874092
309,kununurra,-15.7667,128.7333,27.99,83,40,2.06,AU,1707874405
310,carnarvon,-24.8667,113.6333,30.45,48,0,5.72,AU,1707874081
311,gebeit,21.0667,36.3167,17.3,46,0,1.1,SD,1707874161
312,fort stockton,30.894,-102.8793,17.03,17,0,5.14,US,1707874405
313,lichinga,-13.3128,35.2406,18.05,100,75,6.17,MZ,1707874138
314,puerto colombia,10.9878,-74.9547,28.05,88,98,8.72,CO,1707874405
315,kushnarenkovo,55.105,55.3508,-25.55,100,68,2.24,RU,1707874406
316,weno,7.4515,151.8468,29.97,66,20,6.17,FM,1707874094
317,akbarabad,29.2464,52.7793,3.79,52,0,1.17,IR,1707874406
318,ambon,-3.6954,128.1814,30.08,70,40,2.57,ID,1707873796
319,mejit,10.2753,170.8646,26.34,77,100,8.91,MH,1707874138
320,talnakh,69.4865,88.3972,-33.65,91,31,1.91,RU,1707874061
321,clinton,42.587,-82.9199,1.64,77,100,3.09,US,1707874255
322,east london,-33.0153,27.9116,20.14,85,8,4.98,ZA,1707874064
323,ariquemes,-9.9133,-63.0408,23.13,99,93,0.96,BR,1707874406
324,tazacorte,28.629,-17.9293,17.86,71,0,1.54,ES,1707874162
325,great falls,47.5002,-111.3008,-4.75,92,100,2.06,US,1707874124
326,lerwick,60.1545,-1.1494,6.0,78,55,5.1,GB,1707874157
327,sorong,-0.8833,131.25,29.22,69,75,7.02,ID,1707874369
328,elele,5.1009,6.8141,27.13,84,100,1.89,NG,1707874406
329,geraldton,-28.7667,114.6,35.23,21,0,8.23,AU,1707874069
330,inhambane,-23.865,35.3833,23.97,82,59,2.66,MZ,1707874137
331,prince rupert,54.3161,-130.3201,6.83,81,0,4.63,CA,1707874071
332,new norfolk,-42.7826,147.0587,18.17,29,9,3.94,AU,1707874080
333,duque de caxias,-22.7856,-43.3117,29.94,61,20,5.14,BR,1707874406
334,island harbour,50.724,-1.2758,12.31,95,100,4.47,GB,1707874215
335,qamdo,31.1667,97.2333,-7.08,49,100,2.08,CN,1707874100
336,ola,59.5833,151.2833,-23.24,85,100,2.41,RU,1707874099
337,westport,41.1415,-73.3579,2.9,80,0,2.68,US,1707874063
338,orsa,54.5153,30.4053,-0.75,98,100,2.67,BY,1707874407
339,cape girardeau,37.3834,-89.7168,7.77,77,6,3.6,US,1707874407
340,khorramabad,33.4878,48.3558,2.79,75,0,2.06,IR,1707874407
341,eenhana,-17.4667,16.3333,23.72,57,85,1.41,NA,1707874407
342,nizhniy odes,63.6445,54.856,-38.33,99,20,1.81,RU,1707874269
343,padang,-0.9492,100.3543,30.03,76,9,1.75,ID,1707874078
